SYMBOL,basal.pregnant,basal.lactation,FDR,AveExpr,P value,MCL1.LA,MCL1.LB,MCL1.DI,MCL1.DJ,MCL1.DK,MCL1.DL,MCL1.LC,MCL1.LD,MCL1.DG,MCL1.DH,MCL1.LE,MCL1.LF,MCL1.LA CPM,MCL1.LB CPM,MCL1.DI CPM,MCL1.DJ CPM,MCL1.DK CPM,MCL1.DL CPM,MCL1.LC CPM,MCL1.LD CPM,MCL1.DG CPM,MCL1.DH CPM,MCL1.LE CPM,MCL1.LF CPM
Scd1,0,1.03056599608792,3.01260849161231e-187,11.9831496673285,2.21686485272623e-191,9082,9691,4181,2715,6014,5907,46993,45975,1646,1273,268030,296443,445.368,446.422,173.480,119.786,279.340,295.123,2112.842,2090.890,70.864,58.454,10840.959,12022.528
Csn1s2b,0,6.09709373387164,1.24768138532616e-100,10.1727754641639,1.37718244084715e-104,88,62,21,24,1427,1216,311,465,3,5,90958,90464,4.315,2.856,0.871,1.059,66.282,60.753,13.983,21.148,0.129,0.230,3678.961,3668.854
Gjb3,0,-3.56870173129979,1.66653315541322e-72,5.4922059744373,2.45267766350966e-76,493,518,3256,3166,276,186,158,143,2610,3235,0,6,24.176,23.862,135.099,139.684,12.820,9.293,7.104,6.503,112.366,148.545,0.000,0.243
Mrgprf,0,5.15983291720653,2.30680562686686e-69,2.74628876761215,4.24372792756698e-73,1,6,24,30,786,867,1,1,21,21,0,2,0.049,0.276,0.996,1.324,36.508,43.317,0.045,0.045,0.904,0.964,0.000,0.081
Cldn4,0,-5.30863838451288,6.70169105863932e-69,9.87145122704226,1.47945643150359e-72,48458,61988,2699,2036,57,44,57915,76464,1523,1551,5790,3559,2376.311,2855.517,111.988,89.829,2.648,2.198,2603.904,3477.495,65.568,71.219,234.187,144.339
Tnni2,0,5.75888067357053,5.96931579961557e-66,3.85962729582004,1.53740794721325e-69,27,28,26,52,2211,1445,6,4,18,6,3,4,1.324,1.290,1.079,2.294,102.697,72.194,0.270,0.182,0.775,0.276,0.121,0.162
Muc4,0,-7.16151780721083,2.34696807838223e-55,6.05402932875902,6.9081808113094e-59,1936,2900,219,159,1,1,5587,5457,42,44,605,598,94.939,133.590,9.087,7.015,0.046,0.050,251.196,248.178,1.808,2.020,24.470,24.252
Micall2,0,-2.23766382924947,4.74920814299014e-49,5.17772068969744,1.57264333812544e-52,283,264,2872,2386,523,424,720,780,847,748,223,270,13.878,12.161,119.166,105.271,24.292,21.184,32.372,35.474,36.465,34.347,9.020,10.950
Myof,0,2.33574872972159,7.81532603628264e-49,6.43995985352536,2.87550168743612e-52,2649,2611,566,637,2860,2338,1841,1612,1653,1445,1882,2124,129.903,120.277,23.485,28.105,132.842,116.810,82.773,73.312,71.165,66.352,76.121,86.141
Creb5,0,2.58780656757014,1.07272783973381e-48,4.86783588610095,4.34158954967876e-52,1114,1119,272,337,1579,1555,450,534,756,612,41,33,54.629,51.547,11.286,14.868,73.342,77.690,20.232,24.286,32.547,28.102,1.658,1.338
