EntrezGeneID	Basal.Preg	Basal.Lac	FDR	AveExpr	P value	MCL1.DI	MCL1.DJ	MCL1.DK	MCL1.DL	MCL1.DI CPM	MCL1.DJ CPM	MCL1.DK CPM	MCL1.DL CPM
12992	0	6.08068482814538	4.70939201037205e-180	5.02648231130616	1.73273189240666e-184	21	24	1427	1216	0.871	1.059	66.282	60.753
12740	0	-5.32616429965939	7.46869573641098e-164	5.67745761085204	5.49593122367341e-168	2699	2036	57	44	111.988	89.829	2.648	2.198
211577	0	5.14383982231962	8.94571181293361e-121	4.36879232267917	9.87421738798368e-125	24	30	786	867	0.996	1.324	36.508	43.317
14621	0	-4.54612540493379	1.44045542001633e-120	5.66113184702482	2.11995352296453e-124	2476	2112	108	61	102.735	93.182	5.016	3.048
21953	0	5.74360785511038	2.77855680818069e-92	5.49893471258077	5.11158763784667e-96	26	52	2211	1445	1.079	2.294	102.697	72.194
14620	0	-3.58664487010578	1.44038401811821e-90	6.20286004547503	3.17977265856332e-94	3256	3166	276	186	135.099	139.684	12.820	9.293
16878	0	-3.7197301133652	4.99923664578581e-90	6.41568741387901	1.28756232828657e-93	4101	3426	299	193	170.161	151.156	13.888	9.643
12839	0	-2.89641274234609	3.32956876285702e-77	5.29693836475561	9.8004158000133e-81	1818	1461	197	181	75.433	64.460	9.150	9.043
18491	0	-2.64364339919625	1.66532968999308e-69	5.8455408010122	5.51453961144181e-73	2401	2280	303	342	99.623	100.594	14.074	17.087
26365	0	-3.49541042506071	9.95249438632194e-69	4.18551222442485	3.66183243913387e-72	839	726	49	70	34.812	32.031	2.276	3.497
12266	0	-4.04284938964863	3.43429441974217e-68	8.00317335252238	1.3899421839348e-71	14325	8858	677	524	594.379	390.816	31.445	26.180
12977	0	-2.83374665380902	4.41297975650768e-60	8.8177058178376	1.94840711866118e-63	19712	17860	2540	2006	817.899	787.986	117.979	100.223
21827	0	3.42351302699568	1.55462056604605e-59	4.29969932829923	7.43591278509092e-63	63	96	737	744	2.614	4.236	34.232	37.171
16012	0	2.86471762610992	1.82173097789058e-58	5.08597204857208	9.38380135047944e-62	170	218	1205	1244	7.054	9.618	55.970	62.152
14038	0	-2.23578577693876	1.34783215244434e-56	6.15877830180244	7.43864096790356e-60	2961	2621	492	527	122.859	115.639	22.853	26.330
226025	0	-2.25445486587811	6.19407661448068e-54	5.36191350965569	3.64638970645318e-57	1662	1546	288	291	68.960	68.210	13.377	14.539
