SYMBOL,luminal.pregnant,luminal.lactation,FDR,AveExpr,P value,MCL1.LA,MCL1.LB,MCL1.DI,MCL1.DJ,MCL1.DK,MCL1.DL,MCL1.LC,MCL1.LD,MCL1.DG,MCL1.DH,MCL1.LE,MCL1.LF,MCL1.LA CPM,MCL1.LB CPM,MCL1.DI CPM,MCL1.DJ CPM,MCL1.DK CPM,MCL1.DL CPM,MCL1.LC CPM,MCL1.LD CPM,MCL1.DG CPM,MCL1.DH CPM,MCL1.LE CPM,MCL1.LF CPM
Scd1,0,3.2844410158455,0,11.9831496673285,0,9082,9691,4181,2715,6014,5907,46993,45975,1646,1273,268030,296443,445.368,446.422,173.480,119.786,279.340,295.123,2112.842,2090.890,70.864,58.454,10840.959,12022.528
Csn1s2b,0,8.53857417122658,1.27278521163949e-207,10.1727754641639,1.40489187789046e-211,88,62,21,24,1427,1216,311,465,3,5,90958,90464,4.315,2.856,0.871,1.059,66.282,60.753,13.983,21.148,0.129,0.230,3678.961,3668.854
Atp2b2,0,7.35720359340928,1.06914938522741e-174,6.59124947686566,1.57349333710204e-178,9,13,5,5,77,48,63,87,10,13,6688,8723,0.441,0.599,0.207,0.221,3.577,2.398,2.833,3.957,0.431,0.597,270.508,353.770
Ddah1,0,6.2423274374248,5.69004288518504e-174,4.20566699234346,1.04677193516778e-177,27,30,13,23,38,32,27,37,21,16,1624,1408,1.324,1.382,0.539,1.015,1.765,1.599,1.214,1.683,0.904,0.735,65.686,57.103
Slc39a8,0,6.4908050875109,8.34798573839905e-160,5.06346296895038,1.84289026198147e-163,52,54,362,344,324,431,27,49,286,350,2210,2078,2.550,2.488,15.020,15.177,15.049,21.533,1.214,2.228,12.313,16.071,89.387,84.275
Thbs1,0,-4.11929756838111,1.07524474653238e-144,11.5871954943343,2.76931205185131e-148,10794,19111,174383,204218,135571,111311,29844,36069,69768,110230,1263,1112,529.322,880.361,7235.579,9010.133,6297.037,5561.272,1341.810,1640.377,3003.663,5061.555,51.084,45.098
Egf,0,5.34606717500507,2.15628422240755e-127,3.67316152361415,6.34691260872749e-131,14,17,11,9,26,24,38,46,15,12,1065,1071,0.687,0.783,0.456,0.397,1.208,1.199,1.709,2.092,0.646,0.551,43.076,43.435
Slc39a4,0,-4.35666343140528,2.30750743631974e-114,4.27303833200908,7.64103422748359e-118,234,225,122,96,19,21,1984,1871,189,215,70,47,11.475,10.365,5.062,4.236,0.883,1.049,89.202,85.091,8.137,9.872,2.831,1.906
BC006965,0,-3.72917311925463,1.17726483737351e-109,4.67417255640097,4.33152374029035e-113,661,727,600,605,558,603,1472,1304,215,205,76,54,32.414,33.490,24.895,26.693,25.918,30.127,66.182,59.304,9.256,9.413,3.074,2.190
Slc30a2,0,3.18961438423714,6.31514419696292e-103,5.20486660104512,2.55589190796542e-106,88,74,51,29,40,37,476,456,55,66,2640,2656,4.315,3.409,2.116,1.279,1.858,1.849,21.401,20.738,2.368,3.031,106.780,107.717
Ccn2,0,-6.99919764744808,1.38270057273287e-97,9.70331922400243,6.10486289885369e-101,1734,2080,81859,81508,14231,20653,8595,12383,11663,13668,42,61,85.033,95.817,3396.531,3596.147,661.005,1031.856,386.438,563.165,502.117,627.609,1.699,2.474
Acacb,0,4.305442447329,1.84310683024172e-95,6.56844613589804,8.8157727632151e-99,187,285,227,219,259,312,569,537,208,270,6275,7344,9.170,13.129,9.419,9.662,12.030,15.588,25.583,24.422,8.955,12.398,253.804,297.843
Ceacam10,0,3.28396639552778,7.11847290708602e-90,4.95754821815202,3.66675082597609e-93,309,243,20,8,22,25,391,337,3,3,2176,2232,15.153,11.194,0.830,0.353,1.022,1.249,17.580,15.326,0.129,0.138,88.012,90.521
Krt80,0,-4.27970669160137,1.43956113195452e-89,4.28811388373417,7.94489016495008e-93,729,866,209,246,254,193,1004,965,559,529,34,29,35.749,39.893,8.672,10.854,11.798,9.643,45.141,43.887,24.066,24.291,1.375,1.176
Cited1,0,3.52432981814617,1.82638730203216e-87,5.67275652001306,1.07517557056972e-90,5888,5705,31,34,36,32,157,168,113,90,1295,1038,288.739,262.804,1.286,1.500,1.672,1.599,7.059,7.640,4.865,4.133,52.379,42.097
C1qtnf1,0,-4.81118408085829,6.38730621123024e-86,5.17516687067948,3.99515087350212e-89,2368,1680,349,265,100,131,2645,2201,264,220,65,42,116.123,77.390,14.481,11.692,4.645,6.545,118.921,100.099,11.366,10.102,2.629,1.703
