EntrezGeneID	Lum.Preg	Lum.Lac	FDR	AveExpr	P value	MCL1.DI	MCL1.DJ	MCL1.DK	MCL1.DL	MCL1.LC	MCL1.LD	MCL1.LE	MCL1.LF	MCL1.DI CPM	MCL1.DJ CPM	MCL1.DK CPM	MCL1.DL CPM	MCL1.LC CPM	MCL1.LD CPM	MCL1.LE CPM	MCL1.LF CPM
76574	0	2.10416382421785	0.000129066815957467	6.66968123101167	9.67507250274627e-9	3877	3554	2926	2825	1061	928	2639	2731	160.866	156.803	135.908	141.141	47.703	42.204	106.739	110.758
64291	0	2.51922319987478	0.000129066815957467	5.7604537483368	1.29106193281902e-8	1005	841	897	832	951	838	3167	3275	41.700	37.105	41.664	41.568	42.758	38.111	128.095	132.821
20166	0	-1.70431342523357	0.000129066815957467	5.71173840233546	1.42463095725523e-8	1945	1708	1588	1578	1968	1822	363	367	80.703	75.357	73.760	78.839	88.483	82.862	14.682	14.884
13631	0	1.87569732234679	0.000147343829371641	6.16617383349253	2.7106190325553e-8	1626	1486	1536	1515	1170	1099	2544	2692	67.467	65.563	71.345	75.692	52.604	49.981	102.897	109.177
20014	0	1.09327587913394	0.000147343829371641	7.52609978159215	2.51703487478115e-8	3560	3096	2381	2341	5667	5128	7208	7259	147.713	136.596	110.593	116.960	254.793	233.216	291.541	294.396
14598	0	2.99078583215173	0.000154618424395633	5.95619555126865	3.56491854684624e-8	2556	2329	1932	1829	417	411	1982	2160	106.055	102.756	89.738	91.380	18.749	18.692	80.166	87.601
13645	0	5.3348128159348	0.000154618424395633	1.37655994295995	3.98222513988532e-8	11	9	26	24	38	46	1065	1071	0.456	0.397	1.208	1.199	1.709	2.092	43.076	43.435
27224	0	2.00850388386999	0.000194197194299375	6.64973077165661	8.57414302068692e-8	1596	1377	1378	1413	2310	2225	5546	5932	66.222	60.753	64.006	70.596	103.859	101.190	224.318	240.578
12992	0	8.57564724915872	0.000194197194299375	5.47777054249217	8.29902919784615e-8	21	24	1427	1216	311	465	90958	90464	0.871	1.059	66.282	60.753	13.983	21.148	3678.961	3668.854
70335	0	1.50308540383582	0.000194197194299375	2.92087763262672	6.8136426220253e-8	85	71	28	26	511	444	841	859	3.527	3.133	1.301	1.299	22.975	20.193	34.016	34.838
29809	0	1.53150137426922	0.000194197194299375	5.29992068089352	7.5698066553013e-8	1901	1674	1997	1890	333	303	565	591	78.877	73.857	92.757	94.427	14.972	13.780	22.852	23.969
230810	0	3.1756941271412	0.000220012860574361	3.19752569482533	1.05234452609246e-7	51	29	40	37	476	456	2640	2656	2.116	1.279	1.858	1.849	21.401	20.738	106.780	107.717
13358	0	4.09698451675462	0.000226986662107687	6.06619115504982	1.16921640586762e-7	575	499	705	754	1163	1090	10983	13371	23.858	22.016	32.746	37.671	52.289	49.572	444.227	542.274
100705	0	4.28700794567448	0.000245903791441714	4.94580282720625	1.35713487311002e-7	227	219	259	312	569	537	6275	7344	9.419	9.662	12.030	15.588	25.583	24.422	253.804	297.843
109672	0	1.524430924721	0.000272626992770172	4.77399847161572	1.60492729104189e-7	552	467	740	737	502	434	831	860	22.904	20.604	34.372	36.822	22.570	19.738	33.611	34.878
16790	0	-3.39689930791306	0.000297362705568347	6.27877961631441	1.88398245511674e-7	2948	2967	2015	1954	5408	5077	332	294	122.320	130.905	93.593	97.625	243.148	230.896	13.428	11.923
55979	0	1.41158627594314	0.000297362705568347	5.39106870093682	1.96936189713758e-7	663	603	603	610	1216	1050	1845	1939	27.510	26.604	28.008	30.477	54.672	47.753	74.624	78.638
140474	0	-2.52798691551613	0.000304030831574214	2.94553755793187	2.12538570216346e-7	219	159	1	1	5587	5457	605	598	9.087	7.015	0.046	0.050	251.196	248.178	24.470	24.252
104009	0	2.30916719900544	0.000304445094912557	7.13576599040311	2.53342660801687e-7	1398	1280	1098	942	4970	4913	14940	15869	58.006	56.474	51.000	47.064	223.455	223.438	604.275	643.582
66885	0	1.86157110208435	0.000304445094912557	6.35836930942341	2.65251118441858e-7	1510	1345	1951	1781	1464	1349	3054	3378	62.654	59.342	90.621	88.982	65.823	61.351	123.525	136.998
100036568	0	6.12557724305039	0.000304445094912557	-1.27065756475621	2.54284520125476e-7	28	24	25	28	0	0	20	23	1.162	1.059	1.161	1.399	0.000	0.000	0.809	0.933
68603	0	2.64968460036539	0.000304445094912557	4.94224676923976	2.72689594440632e-7	428	401	689	574	506	453	1837	1947	17.759	17.692	32.003	28.678	22.750	20.602	74.301	78.962
170439	0	3.15435038316929	0.000304445094912557	5.19304578164031	2.66764024202401e-7	549	436	795	773	533	412	2726	2541	22.779	19.236	36.926	38.620	23.964	18.737	110.258	103.053
56072	0	2.33933474417341	0.000304445094912557	3.31254614740984	2.800370643811e-7	107	70	26	27	612	563	1858	1880	4.440	3.088	1.208	1.349	27.516	25.605	75.150	76.245
74413	0	3.28210998862022	0.000310420066126612	2.73683498827982	3.13943038875091e-7	27	22	42	33	283	322	1808	1878	1.120	0.971	1.951	1.649	12.724	14.644	73.128	76.164
14618	0	5.97750575919035	0.000310420066126612	-0.642272310279871	3.1979697014405e-7	0	0	9	12	16	12	537	605	0.000	0.000	0.418	0.600	0.719	0.546	21.720	24.536
26366	0	3.26832663129986	0.000310420066126612	2.47535345617921	3.1069324082175e-7	20	8	22	25	391	337	2176	2232	0.830	0.353	1.022	1.249	17.580	15.326	88.012	90.521
76846	0	-1.02272959990102	0.000319325727276363	7.53565860340461	3.40720633246791e-7	6089	5357	3464	3266	7478	7060	2262	2235	252.648	236.352	160.897	163.174	336.217	321.081	91.491	90.643
20531	0	4.15026576427405	0.000327907172373656	5.322667370505	3.6194176280252e-7	139	94	171	202	1845	1540	16923	20965	5.767	4.147	7.943	10.092	82.953	70.037	684.481	850.256
380714	0	2.66077655891095	0.000340656328774055	2.69411394219445	4.05723717892129e-7	66	68	160	135	114	102	423	438	2.739	3.000	7.432	6.745	5.126	4.639	17.109	17.764
66120	0	2.23497464362791	0.000340656328774055	5.2221372770682	3.92438001505586e-7	275	202	143	115	2575	2217	7010	7143	11.410	8.912	6.642	5.746	115.774	100.827	283.532	289.691
21881	0	1.38234604392455	0.000340656328774055	8.40413071161802	4.35500384437611e-7	4189	3690	2829	2884	14916	12698	21883	23270	173.812	162.803	131.402	144.089	670.635	577.491	885.098	943.737
212442	0	1.58043204922225	0.000340656328774055	3.13888529026077	4.37300500043478e-7	135	122	180	177	201	182	344	377	5.601	5.383	8.361	8.843	9.037	8.277	13.914	15.290
72685	0	2.79408266457805	0.000344461149638034	1.71092144714684	5.20185415198088e-7	7	10	14	15	220	238	978	1016	0.290	0.441	0.650	0.749	9.891	10.824	39.557	41.205
24059	0	3.51831294048854	0.000344461149638034	6.92424017476495	5.33879084841947e-7	12241	11026	5777	5772	403	294	2313	2684	507.909	486.469	268.332	288.378	18.119	13.371	93.553	108.852
19224	0	4.13045611737897	0.000344461149638034	3.69018909018689	5.84606110441483e-7	131	130	103	96	198	258	2450	2509	5.436	5.736	4.784	4.796	8.902	11.734	99.095	101.755
19041	0	-3.63619244443627	0.000344461149638034	6.25719962191426	5.4984212091149e-7	1464	1499	2574	2565	6694	7036	327	367	60.745	66.136	119.558	128.151	300.967	319.989	13.226	14.884
