EntrezGeneID	Basal.Preg	Basal.Lac	FDR	AveExpr	P value	MCL1.DI	MCL1.DJ	MCL1.DK	MCL1.DL	MCL1.LC	MCL1.LD	MCL1.LE	MCL1.LF	MCL1.DI CPM	MCL1.DJ CPM	MCL1.DK CPM	MCL1.DL CPM	MCL1.LC CPM	MCL1.LD CPM	MCL1.LE CPM	MCL1.LF CPM
192176	0	0.402596367242222	0	11.5993939400765	0	149615	151692	179600	161662	6498	8269	1339	1489	6207.894	6692.677	8342.108	8076.886	292.155	376.065	54.158	60.388
100470	0	2.08512765361679	1.20429700480286e-233	11.7068583132611	8.86196699512757e-238	518	378	1570	1670	12061	16669	190454	193519	21.493	16.677	72.924	83.436	542.272	758.087	7703.257	7848.347
21825	0	-0.401226720805205	1.35522092192821e-122	11.6581689394093	1.49588386834859e-126	174383	204218	135571	111311	29844	36069	1263	1112	7235.579	9010.133	6297.037	5561.272	1341.810	1640.377	51.084	45.098
12992	0	6.0905070366318	2.80031732361536e-102	10.5656614561064	4.12129559382665e-106	21	24	1427	1216	311	465	90958	90464	0.871	1.059	66.282	60.753	13.983	21.148	3678.961	3668.854
14621	0	-4.5330237722058	1.44811045301932e-98	4.43553399757245	2.66402452816388e-102	2476	2112	108	61	31	49	1	1	102.735	93.182	5.016	3.048	1.394	2.228	0.040	0.041
14620	0	-3.57400172459654	2.44370021378793e-88	5.00992954498983	5.39468018791256e-92	3256	3166	276	186	158	143	0	6	135.099	139.684	12.820	9.293	7.104	6.503	0.000	0.243
211577	0	5.1531143997712	7.47802663488233e-84	3.15170321706668	1.92597911785483e-87	24	30	786	867	1	1	0	2	0.996	1.324	36.508	43.317	0.045	0.045	0.000	0.081
21953	0	5.75381812718086	4.07336042526265e-83	4.25758229806202	1.19897286147766e-86	26	52	2211	1445	6	4	3	4	1.079	2.294	102.697	72.194	0.270	0.182	0.121	0.162
17304	0	0.394378097826147	1.35704020435235e-70	11.6638806880517	4.4936759406789e-74	18097	16784	20052	19118	54502	68613	122448	150668	750.889	740.513	931.381	955.165	2450.452	3120.441	4952.631	6110.484
140474	0	-7.14873425218859	1.74830302766003e-64	6.110911946518	6.43255096824766e-68	219	159	1	1	5587	5457	605	598	9.087	7.015	0.046	0.050	251.196	248.178	24.470	24.252
228413	0	-3.29296024585709	1.60087868285541e-61	3.97843858958393	6.47914401243958e-65	486	457	44	38	706	653	266	244	20.165	20.163	2.044	1.899	31.742	29.698	10.759	9.896
226025	0	-2.24249559757141	1.84095944720345e-47	4.12089244481938	8.12815532817299e-51	1662	1546	288	291	5	1	1	4	68.960	68.210	13.377	14.539	0.225	0.045	0.040	0.162
54156	0	1.97360341992689	1.86488327779486e-47	4.52655355988809	8.91993178973956e-51	571	491	1770	1787	12	18	2	3	23.692	21.663	82.213	89.281	0.540	0.819	0.081	0.122
226101	0	2.32922739262806	1.8982171002833e-45	6.35609867051752	1.02431971662434e-48	566	637	2860	2338	1841	1612	1882	2124	23.485	28.105	132.842	116.810	82.773	73.312	76.121	86.141
231830	0	-2.24282309821428	1.8982171002833e-45	5.30538599171909	1.04761972494387e-48	2872	2386	523	424	720	780	223	270	119.166	105.271	24.292	21.184	32.372	35.474	9.020	10.950
16012	0	2.87456996667447	4.5038493069809e-44	3.87734714677143	2.651370135461e-47	170	218	1205	1244	12	12	10	17	7.054	9.618	55.970	62.152	0.540	0.546	0.404	0.689
231991	0	2.58029248860549	9.41585700304414e-44	4.6133907942578	5.88945763463521e-47	272	337	1579	1555	450	534	41	33	11.286	14.868	73.342	77.690	20.232	24.286	1.658	1.338
12740	0	-5.31320308215898	4.32054931874068e-42	9.64767692006391	2.86139621536231e-45	2699	2036	57	44	57915	76464	5790	3559	111.988	89.829	2.648	2.198	2603.904	3477.495	234.187	144.339
16819	0	-1.78223180198381	2.58446287747447e-40	10.9322908471153	1.80671822627819e-43	62380	61501	17705	13184	46083	47259	47358	47328	2588.300	2713.435	822.366	658.693	2071.928	2149.285	1915.480	1919.432
21827	0	3.4314277191439	2.52893739927444e-39	3.210616402596	1.86094955610909e-42	63	96	737	744	36	44	28	24	2.614	4.236	34.232	37.171	1.619	2.001	1.133	0.973
381290	0	2.15076317080513	5.58206386561165e-38	6.36060031012783	4.31301155958073e-41	1668	1795	7334	5880	32	32	20	17	69.209	79.196	340.652	293.774	1.439	1.455	0.809	0.689
74747	0	-2.16408943715282	8.07469313714966e-38	6.62827098941899	6.53604801564784e-41	6753	5981	1089	1332	1059	1052	1182	1368	280.199	263.883	50.582	66.549	47.613	47.844	47.808	55.481
12737	0	-3.26713776644521	1.42505804401352e-36	5.73823581792829	1.20594337585308e-39	229	170	15	20	3854	4008	666	608	9.502	7.500	0.697	0.999	173.279	182.279	26.938	24.658
14115	0	-2.2543189798605	2.56276495960867e-36	5.17421307054784	2.26301037678384e-39	3877	2607	524	625	90	84	81	69	160.866	115.021	24.339	31.226	4.046	3.820	3.276	2.798
12654	0	-2.33179229201326	4.26994692108217e-36	5.80816431418591	3.9276159176958e-39	4786	5395	1007	734	140	122	94	76	198.583	238.028	46.773	36.672	6.295	5.548	3.802	3.082
16071	0	-6.16702031905889	5.07807350754509e-36	0.10174561402825	4.85779135347777e-39	129	63	2	0	0	1	0	0	5.353	2.780	0.093	0.000	0.000	0.045	0.000	0.000
320297	0	4.18722038023903	2.0869404145335e-34	0.107252820908729	2.0731958936092e-37	2	9	104	72	0	0	0	0	0.083	0.397	4.831	3.597	0.000	0.000	0.000	0.000
20317	0	-1.70394791258047	2.78463313995279e-34	5.12023779331127	2.86874895760249e-37	3043	2877	813	741	37	34	27	42	126.262	126.934	37.762	37.022	1.664	1.546	1.092	1.703
