ENTREZID	ENSEMBL	SYMBOL	GENENAME
EntrezGeneID	NA	NA	NA
192176	ENSMUSG00000031328	Flna	filamin, alpha
100470	ENSMUSG00000024903	Lao1	L-amino acid oxidase 1
21825	ENSMUSG00000040152	Thbs1	thrombospondin 1
12992	ENSMUSG00000061388	Csn1s2b	casein alpha s2-like B
14621	ENSMUSG00000046623	Gjb4	gap junction protein, beta 4
14620	ENSMUSG00000042367	Gjb3	gap junction protein, beta 3
211577	ENSMUSG00000031070	Mrgprf	MAS-related GPR, member F
21953	ENSMUSG00000031097	Tnni2	troponin I, skeletal, fast 2
17304	ENSMUSG00000030605	Mfge8	milk fat globule-EGF factor 8 protein
140474	ENSMUSG00000079620	Muc4	mucin 4
228413	ENSMUSG00000027171	Prrg4	proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane)
226025	ENSMUSG00000052387	Trpm3	transient receptor potential cation channel, subfamily M, member 3
54156	ENSMUSG00000000402	Egfl6	EGF-like-domain, multiple 6
226101	ENSMUSG00000048612	Myof	myoferlin
231830	ENSMUSG00000036718	Micall2	MICAL-like 2
16012	ENSMUSG00000023046	Igfbp6	insulin-like growth factor binding protein 6
231991	ENSMUSG00000053007	Creb5	cAMP responsive element binding protein 5
12740	ENSMUSG00000047501	Cldn4	claudin 4
16819	ENSMUSG00000026822	Lcn2	lipocalin 2
21827	ENSMUSG00000028047	Thbs3	thrombospondin 3
381290	ENSMUSG00000026463	Atp2b4	ATPase, Ca++ transporting, plasma membrane 4
74747	ENSMUSG00000020108	Ddit4	DNA-damage-inducible transcript 4
12737	ENSMUSG00000022512	Cldn1	claudin 1
14115	ENSMUSG00000064080	Fbln2	fibulin 2
12654	ENSMUSG00000064246	Chil1	chitinase-like 1
16071	NA	Igkc	immunoglobulin kappa constant
320297	ENSMUSG00000097182	A830009L08Rik	RIKEN cDNA A830009L08 gene
20317	ENSMUSG00000000753	Serpinf1	serine (or cysteine) peptidase inhibitor, clade F, member 1
22044	ENSMUSG00000005892	Trh	thyrotropin releasing hormone
170770	ENSMUSG00000002083	Bbc3	BCL2 binding component 3
12424	ENSMUSG00000032532	Cck	cholecystokinin
214685	ENSMUSG00000063765	Chadl	chondroadherin-like
67111	ENSMUSG00000029413	Naaa	N-acylethanolamine acid amidase
56636	ENSMUSG00000030827	Fgf21	fibroblast growth factor 21
170761	ENSMUSG00000032105	Pdzd3	PDZ domain containing 3
215384	ENSMUSG00000047730	Fcgbp	Fc fragment of IgG binding protein
217166	ENSMUSG00000020889	Nr1d1	nuclear receptor subfamily 1, group D, member 1
11636	ENSMUSG00000026817	Ak1	adenylate kinase 1
55987	ENSMUSG00000030862	Cpxm2	carboxypeptidase X 2 (M14 family)
11555	ENSMUSG00000045730	Adrb2	adrenergic receptor, beta 2
68828	ENSMUSG00000001333	Sync	syncoilin
66234	ENSMUSG00000031604	Msmo1	methylsterol monoxygenase 1
17476	ENSMUSG00000046805	Mpeg1	macrophage expressed gene 1
101612	ENSMUSG00000053801	Grwd1	glutamate-rich WD repeat containing 1
67971	ENSMUSG00000014846	Tppp3	tubulin polymerization-promoting protein family member 3
76123	ENSMUSG00000027883	Gpsm2	G-protein signalling modulator 2 (AGS3-like, C. elegans)
232016	ENSMUSG00000037973	Itprid1	ITPR interacting domain containing 1
12023	ENSMUSG00000032033	Barx2	BarH-like homeobox 2
14038	ENSMUSG00000000983	Wfdc18	WAP four-disulfide core domain 18
76964	ENSMUSG00000009114	2610028H24Rik	RIKEN cDNA 2610028H24 gene
24117	ENSMUSG00000020218	Wif1	Wnt inhibitory factor 1
12739	ENSMUSG00000070473	Cldn3	claudin 3
