Feature,WT-1,WT-2,WT-3,B-1,B-2,B-3,N-1,N-2,N-3,NB-1,NB-2,NB-3,EC Number
0610005C13Rik,10,4,7,4,7,6,9,5,1,5,3,8,
0610007P14Rik,585,589,640,652,764,775,548,715,683,693,599,702,
0610009B14Rik,1,2,0,0,0,0,0,1,1,1,1,0,
0610009B22Rik,181,176,230,178,208,201,187,194,209,162,185,169,
0610009D07Rik,1065,1108,1246,1137,1411,1281,1061,1287,1258,1153,1051,1458,
0610009L18Rik,9,9,10,14,21,21,7,9,8,8,11,18,
0610009O20Rik,717,767,712,969,867,931,913,1043,1058,1030,985,1005,
0610010B08Rik,3,4,3,7,12,4,0,5,4,6,4,8,
0610010F05Rik,522,508,542,540,618,652,457,488,497,467,507,665,
0610010K14Rik,489,525,581,550,567,542,505,519,539,455,449,493,
0610011F06Rik,196,251,247,264,270,259,250,323,338,277,278,284,
0610012G03Rik,271,268,307,347,392,382,349,359,353,342,335,361,
0610012H03Rik,35,29,23,45,42,33,10,5,2,12,8,18,
0610030E20Rik,1867,1919,1998,1780,1474,1476,1946,1915,2048,1505,1492,1604,
0610031J06Rik,685,764,781,712,676,752,731,762,730,547,652,602,
0610037L13Rik,361,420,413,406,468,432,336,438,439,345,354,442,
0610038B21Rik,4,1,2,7,5,3,3,3,5,3,5,4,
0610038L08Rik,0,0,1,2,3,4,4,3,1,1,0,1,
0610039K10Rik,5,6,3,5,5,8,7,5,9,4,5,5,
0610040B10Rik,6,5,12,7,12,5,4,7,9,9,7,12,
0610040F04Rik,0,0,1,1,1,0,0,0,0,1,1,0,
0610040J01Rik,73,95,86,60,77,70,77,45,47,63,61,106,
0610043K17Rik,1,2,0,3,5,6,1,1,0,4,4,3,
1100001G20Rik,2097,3185,3498,944,373,321,1460,2196,1795,598,437,389,
1110001A16Rik,81,85,86,91,108,95,72,104,80,86,66,94,
1110001J03Rik,199,193,212,248,304,307,230,231,229,234,215,250,
1110002L01Rik,56,35,40,70,55,61,55,46,51,54,72,80,
1110004E09Rik,231,269,300,303,398,377,313,371,358,334,349,410,
1110004F10Rik,1364,1374,1565,1696,1914,1919,1472,1698,1795,1750,1727,2159,
1110006O24Rik,10,10,17,22,18,13,7,23,16,20,21,25,
1110007C09Rik,212,288,240,240,167,182,196,222,184,135,108,123,
1110008F13Rik,529,591,619,510,672,578,599,569,575,562,485,544,
1110008J03Rik,44,52,57,94,91,93,81,99,111,86,99,93,
1110008L16Rik,284,296,321,415,472,446,303,365,408,397,444,548,
1110008P14Rik,173,204,225,109,94,112,173,207,205,97,102,77,
1110012L19Rik,142,153,178,170,209,184,130,135,148,137,156,169,
1110017D15Rik,1,0,0,0,0,0,1,0,0,0,0,0,
1110018G07Rik,1541,1577,1744,1741,1827,1844,1683,1975,1940,1643,1683,1684,
1110019D14Rik,19,23,30,40,28,26,38,27,36,34,48,46,
1110020A21Rik,9,15,14,17,13,16,3,10,14,10,12,10,
1110028F11Rik,8,10,13,27,27,26,9,15,22,11,15,15,
1110032A03Rik,78,107,128,145,142,116,85,104,108,101,106,135,
1110032F04Rik,5,7,13,11,16,4,1,10,13,8,11,17,
1110034G24Rik,50,78,94,79,80,61,67,84,90,56,77,73,
1110035M17Rik,2,3,4,5,5,2,1,4,5,1,4,1,
1110037F02Rik,1643,1567,1668,1792,1562,1716,1637,1767,1795,1683,1721,1906,
1110038B12Rik,618,531,630,756,1009,971,613,876,896,856,792,1185,
1110038F14Rik,280,282,290,321,367,372,322,344,384,297,302,323,
1110046J04Rik,5,5,9,9,3,0,5,13,5,7,4,4,
1110051M20Rik,60,70,73,168,146,124,59,69,80,116,111,151,
1110054M08Rik,5,8,7,11,7,2,3,4,7,2,2,2,
1110057K04Rik,656,703,814,846,765,852,744,829,797,798,758,989,
1110058L19Rik,119,124,135,175,205,168,141,146,170,132,148,198,
1110059E24Rik,358,359,419,346,420,346,337,275,268,276,265,418,
1110059G10Rik,251,264,307,305,315,320,242,275,294,293,275,393,
1110065P20Rik,17,18,21,31,20,32,23,38,26,24,26,23,
1190002F15Rik,240,237,247,217,222,196,219,257,263,187,163,163,
1190002N15Rik,563,539,682,802,717,808,552,758,812,917,944,900,
1190005I06Rik,1,1,4,2,4,2,0,2,2,1,2,3,
1190007I07Rik,123,88,138,172,172,201,140,149,181,165,148,189,
1200011I18Rik,1076,1112,1292,1361,1355,1315,1207,1318,1278,1303,1376,1518,
1200014J11Rik,1127,1184,1269,1182,1170,1182,1106,1200,1281,1093,1115,1286,
1300002E11Rik,99,122,127,198,183,194,131,238,256,256,299,277,
1300002K09Rik,3,2,4,2,5,1,2,4,0,1,2,2,
1300015D01Rik,1,3,3,1,3,0,2,1,3,2,0,1,
1300017J02Rik,71,76,92,131,85,80,50,137,152,137,157,108,
1300018J18Rik,223,260,240,220,209,225,234,255,255,247,244,172,
1500004A13Rik,73,88,87,81,91,90,80,109,103,101,89,94,
1500009L16Rik,2,5,3,18,11,11,5,3,2,5,10,7,
1500011B03Rik,111,133,144,196,226,204,87,141,128,183,183,164,
1500011K16Rik,142,152,183,221,243,194,159,168,186,187,181,204,
1500012F01Rik,692,724,905,1077,1275,1219,664,920,1078,1041,977,1325,
1500012K07Rik,2,3,1,1,3,1,2,2,3,1,3,0,
1500015A07Rik,45,59,63,71,73,69,46,60,59,45,63,67,
1500015L24Rik,0,1,0,0,0,0,0,0,0,0,0,0,
1500015O10Rik,1,0,1,1,3,1,0,1,1,0,1,1,
1500016L03Rik,0,1,0,0,0,0,0,0,0,0,0,0,
1500032L24Rik,810,863,885,807,738,780,820,893,828,730,615,781,
1600002D24Rik,0,0,1,0,1,1,0,0,0,1,0,0,
1600002H07Rik,292,370,357,327,349,363,362,455,460,391,416,356,
1600002K03Rik,96,75,115,117,90,104,94,98,106,102,104,118,
1600010M07Rik,10,17,14,8,6,5,7,11,9,3,2,2,
1600012H06Rik,386,399,409,325,292,326,358,353,368,269,291,316,
1600014C10Rik,951,1201,1140,817,773,748,1029,1021,883,698,601,742,
1600016N20Rik,7,9,12,10,12,9,6,11,5,9,6,7,
1600020E01Rik,91,83,75,88,86,100,89,70,102,102,98,95,
1600023N17Rik,3,7,3,8,5,3,5,2,6,4,1,3,
1600029D21Rik,3,8,6,1,4,5,9,3,2,4,3,5,
1600029I14Rik,0,1,1,0,3,2,2,2,3,0,1,2,
