SYMBOL	FC
Sgcg	6.613305021
Gjb1	6.481335574
Csn1s2b	6.097093734
Tnni2	5.758880674
NA	5.662101004
2310040G07Rik	5.578326916
Il2ra	5.282043416
Mrgprf	5.159832917
Skint7	5.012985798
Gm2885	4.931639058
NA	4.924975976
Vstm2a	4.922302292
Gm17634	4.734803183
Fstl4	4.718102975
Tenm1	4.710033083
NA	4.708063139
Pcdha9	4.472014288
Tbrg3	4.471859876
9930038B18Rik	4.469856149
Khdc1c	4.465273411
Gm5476	4.464882286
Fam90a1a	4.463808236
Lrrc74b	4.459934853
2610028H24Rik	4.291755822
A830009L08Rik	4.198365226
Cfd	4.196929757
NA	4.177525613
Klrc3	4.176602046
1600010M07Rik	4.166576119
Methig1	4.166436943
Grm2	4.166349664
4930452G13Rik	4.166058408
Arhgef33	4.164565293
Gm10451	4.164241503
Tac4	4.164212458
Cuzd1	4.16235302
4931402G19Rik	4.15573074
Gm20755	4.15573074
Zp2	4.155724177
Cfap61	4.15559638
Skint2	4.155549743
Lrrc34	4.151558704
Uroc1	4.146637478
Slc13a4	4.146418834
Ncam2	4.146216244
Rnf182	4.145527972
NA	4.145211129
Krt74	4.145211129
Grm6	4.136966492
NA	4.134635087
Ccer1	4.134635087
Cck	4.022712046
Atp2b2	3.837687009
Gm10822	3.789067096
1700039M10Rik	3.788615162
Rhd	3.787671171
NA	3.787103128
Gm13570	3.787054048
Gm6634	3.787024663
Smbd1	3.786759527
A830082K12Rik	3.785015853
Slc9b1	3.781891235
Atp6v1e2	3.774174253
4930483O08Rik	3.774145327
Slc14a2	3.774064857
Gm5591	3.774064857
2310016G11Rik	3.774064857
Snap91	3.774064857
NA	3.773994665
4930452A19Rik	3.773994367
Gm20982	3.773993936
Mir744	3.773993909
Tbx19	3.773870419
Gltpd2	3.773801513
Barx1	3.773622413
Spaca5	3.773374313
Raet1d	3.773129599
Gm21586	3.773122662
Dpep3	3.773028409
Fmo6	3.772855185
Mrln	3.772753138
Nhlh1	3.772343028
Gja8	3.771513233
4921525O09Rik	3.771150029
Sytl5	3.767768524
Klk14	3.767052273
NA	3.767040702
6430562O15Rik	3.764150466
Gm19937	3.763228881
Mip	3.762753359
Fam81b	3.762546456
NA	3.761904073
Gm16619	3.76184436
Cyp21a1	3.76165045
Krt33b	3.761602601
Hydin	3.761472049
Gm16630	3.761221664
Il22ra2	3.761214396
4930567H12Rik	3.761163248
Lrrc2	3.760930585
Fer1l6	3.760807339
Epha5	3.76080588
Ptgs2os	3.760741859
DQ267100	3.760741859
Gm19816	3.760741859
Cela3a	3.760741859
1700069L16Rik	3.760741859
Gp6	3.760741859
Gfral	3.760741859
A930012L18Rik	3.755642076
A430010J10Rik	3.750407186
Mageb1	3.747606813
Upk3bl	3.747519468
1700109G14Rik	3.747334566
1700001K23Rik	3.747334566
Dnajc5g	3.747334566
Mir3072	3.74581405
NA	3.745174036
Slc28a2b	3.713400255
Ppef2	3.697032251
Mrgprd	3.692505298
Sync	3.668275188
Rtl3	3.62184975
NA	3.602492631
Cidec	3.596626277
Lyzl4	3.584115386
Trim9	3.568917955
Aknad1	3.511344357
Gtsf1l	3.476267845
Thbs3	3.437782396
A430093F15Rik	3.382028407
Ankub1	3.379874624
Mir3074-1	3.377378679
Pdzd3	3.338792774
Agr3	3.25835536
C230012O17Rik	3.254446475
Fam50b	3.253265598
4933402J15Rik	3.252620317
Trim40	3.252620317
Mir1948	3.252620317
Loxhd1	3.252620317
Gm16233	3.252620317
4930519H02Rik	3.252620317
6430584L05Rik	3.252620317
Cldn34c3	3.252620317
Fabp2	3.252383026
Pga5	3.252382797
Clrn2	3.252382797
Mir335	3.252382797
Nlrp1a	3.252382058
Zar1l	3.252382058
4930430J02Rik	3.252380657
Tmem178b	3.252379973
Gm17275	3.252377587
NA	3.252137711
Amelx	3.252136218
Gm867	3.252132963
Hoxa9	3.252132175
Cyp4f41-ps	3.25213068
Cltrn	3.252127418
Tcte3	3.252034023
4930545L23Rik	3.251724718
1700027J07Rik	3.251175717
AI467606	3.250882675
Trdn	3.250391344
Calhm4	3.249922313
NA	3.248960896
4933401H06Rik	3.248858228
Kcnh4	3.248243529
Scarna13	3.2478169
Gm5039	3.247325778
