ENTREZID	ENSEMBL	SYMBOL	GENENAME
EntrezGeneID	NA	NA	NA
12992	ENSMUSG00000061388	Csn1s2b	casein alpha s2-like B
12740	ENSMUSG00000047501	Cldn4	claudin 4
211577	ENSMUSG00000031070	Mrgprf	MAS-related GPR, member F
14621	ENSMUSG00000046623	Gjb4	gap junction protein, beta 4
21953	ENSMUSG00000031097	Tnni2	troponin I, skeletal, fast 2
14620	ENSMUSG00000042367	Gjb3	gap junction protein, beta 3
16878	ENSMUSG00000034394	Lif	leukemia inhibitory factor
12839	ENSMUSG00000026147	Col9a1	collagen, type IX, alpha 1
18491	ENSMUSG00000028370	Pappa	pregnancy-associated plasma protein A
26365	ENSMUSG00000074272	Ceacam1	carcinoembryonic antigen-related cell adhesion molecule 1
12266	ENSMUSG00000024164	C3	complement component 3
12977	ENSMUSG00000014599	Csf1	colony stimulating factor 1 (macrophage)
21827	ENSMUSG00000028047	Thbs3	thrombospondin 3
16012	ENSMUSG00000023046	Igfbp6	insulin-like growth factor binding protein 6
14038	ENSMUSG00000000983	Wfdc18	WAP four-disulfide core domain 18
226025	ENSMUSG00000052387	Trpm3	transient receptor potential cation channel, subfamily M, member 3
231830	ENSMUSG00000036718	Micall2	MICAL-like 2
78896	ENSMUSG00000026051	1500015O10Rik	RIKEN cDNA 1500015O10 gene
231991	ENSMUSG00000053007	Creb5	cAMP responsive element binding protein 5
11910	ENSMUSG00000026628	Atf3	activating transcription factor 3
228413	ENSMUSG00000027171	Prrg4	proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane)
15200	ENSMUSG00000024486	Hbegf	heparin-binding EGF-like growth factor
226101	ENSMUSG00000048612	Myof	myoferlin
54156	ENSMUSG00000000402	Egfl6	EGF-like-domain, multiple 6
20319	ENSMUSG00000027996	Sfrp2	secreted frizzled-related protein 2
270150	ENSMUSG00000070306	Ccdc153	coiled-coil domain containing 153
68828	ENSMUSG00000001333	Sync	syncoilin
140474	ENSMUSG00000079620	Muc4	mucin 4
170761	ENSMUSG00000032105	Pdzd3	PDZ domain containing 3
67111	ENSMUSG00000029413	Naaa	N-acylethanolamine acid amidase
100470	ENSMUSG00000024903	Lao1	L-amino acid oxidase 1
232016	ENSMUSG00000037973	Itprid1	ITPR interacting domain containing 1
215384	ENSMUSG00000047730	Fcgbp	Fc fragment of IgG binding protein
20310	ENSMUSG00000058427	Cxcl2	chemokine (C-X-C motif) ligand 2
214685	ENSMUSG00000063765	Chadl	chondroadherin-like
14115	ENSMUSG00000064080	Fbln2	fibulin 2
20317	ENSMUSG00000000753	Serpinf1	serine (or cysteine) peptidase inhibitor, clade F, member 1
14299	ENSMUSG00000062661	Ncs1	neuronal calcium sensor 1
16669	ENSMUSG00000020911	Krt19	keratin 19
68567	ENSMUSG00000029161	Cgref1	cell growth regulator with EF hand domain 1
170770	ENSMUSG00000002083	Bbc3	BCL2 binding component 3
16819	ENSMUSG00000026822	Lcn2	lipocalin 2
14586	ENSMUSG00000022103	Gfra2	glial cell line derived neurotrophic factor family receptor alpha 2
12654	ENSMUSG00000064246	Chil1	chitinase-like 1
12833	ENSMUSG00000001119	Col6a1	collagen, type VI, alpha 1
11636	ENSMUSG00000026817	Ak1	adenylate kinase 1
74747	ENSMUSG00000020108	Ddit4	DNA-damage-inducible transcript 4
18787	ENSMUSG00000037411	Serpine1	serine (or cysteine) peptidase inhibitor, clade E, member 1
217166	ENSMUSG00000020889	Nr1d1	nuclear receptor subfamily 1, group D, member 1
53311	ENSMUSG00000042451	Mybph	myosin binding protein H
12424	ENSMUSG00000032532	Cck	cholecystokinin
50786	ENSMUSG00000062184	Hs6st2	heparan sulfate 6-O-sulfotransferase 2
11520	ENSMUSG00000028494	Plin2	perilipin 2
76509	ENSMUSG00000032068	Plet1	placenta expressed transcript 1
620695	ENSMUSG00000087006	Gm13889	predicted gene 13889
14219	ENSMUSG00000019997	Ctgf	connective tissue growth factor
381290	ENSMUSG00000026463	Atp2b4	ATPase, Ca++ transporting, plasma membrane 4
76123	ENSMUSG00000027883	Gpsm2	G-protein signalling modulator 2 (AGS3-like, C. elegans)
